treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,1095,-1e-16,0.00955551014245054,0.366706816629244,2.6366686371780395,1.5016877269036408,True,1
coag28,cardio28,1095,0.726833290366736,1.5594860087216341e-145,0.6794687269108785,0.7741978538225945,0.31711161558143186,True,1
hepatic28,cardio28,1095,0.5926671794452298,9.619507126760807e-103,0.5442613846518657,0.6410729742385904,0.13374858913814647,True,1
icufd,cardio28,1095,0.6866757170024975,1.246041640357949e-167,0.6460795974228706,0.7272718365821171,0.2746132149059631,True,1
vfd,cardio28,1095,0.6244151457968972,1.23943948128109e-157,0.585884245680718,0.662946045913081,0.17807730767466445,True,1
alcohol_binary,cns28,1095,-1e-16,0.11493835311962593,-0.26245997652675457,2.416254510036355,1.0768972667547994,False,1
coag28,cns28,1095,0.42841382366763403,1.754288727771629e-30,0.35737274884970816,0.49945489848556,0.30138084289143896,True,1
hepatic28,cns28,1095,0.36706487364342477,1.124923935709718e-25,0.3000421511891804,0.4340875960976695,0.15834043791863187,True,1
alcohol_binary,coag28,1095,-1e-16,0.0033192087709451017,0.525156447431226,2.6262356756151313,1.5756960615231814,True,1
pulmon28,coag28,1095,0.11680256607029804,0.0001714209088619448,0.05602474816719144,0.1775803839733979,0.12039714698100817,True,1
alcohol_binary,hepatic28,1095,-1e-16,0.22980010714690463,-0.43743527676018434,1.819512489427189,0.6910386063335051,False,1
coag28,hepatic28,1095,0.7797606798769179,1.287151942448373e-181,0.7362168941918186,0.8233044655620216,0.7821466775607654,True,1
alcohol_binary,icufd,1095,-1e-16,0.1026118283727605,-0.1963828949383899,2.149998925324184,0.9768080151928965,False,1
cns28,icufd,1095,0.48973324610132174,4.9035011003530487e-91,0.44662589139242304,0.5328406008102169,0.33903695731746625,True,1
coag28,icufd,1095,0.6658865105538462,4.109258624153758e-107,0.61290393492278,0.7188690861849124,0.42467824155754547,True,1
hepatic28,icufd,1095,0.5340213152530975,1.1536393774584455e-74,0.48104173876069034,0.5870008917455037,0.1074304925066305,True,1
pulmon28,icufd,1095,0.19887428542340047,7.921083777799735e-09,0.13177682653280637,0.2659717443139931,0.09567252048065912,True,1
alcohol_binary,orgfree28,1095,-1e-16,0.0037763953565877213,0.643253608251271,3.3276691723710723,1.9854613903111717,True,1
cardio28,orgfree28,1095,0.768210010827912,5.4210246671564684e-132,0.7147788613592904,0.8216411602965336,0.44009854749347993,True,1
coag28,orgfree28,1095,0.7373224312923314,2.9137257470563966e-98,0.6754060642787676,0.7992387983058951,-0.21526634379864681,True,1
hepatic28,orgfree28,1095,0.7261027014524879,6.549653140891018e-112,0.6699089942643853,0.7822964086405896,0.26635959863417735,True,1
pulmon28,orgfree28,1095,0.032731550359342165,0.4112068541454883,-0.04539132796229912,0.1108544286809878,-0.07463730340332261,False,1
renal28,orgfree28,1095,0.7842350800075941,2.2884246167746445e-216,0.745781683787938,0.8226884762272505,0.5978845819532348,True,1
alcohol_binary,pulmon28,1095,-0.5345363280699513,0.3053699286703971,-1.5573227303603765,0.4882500742204734,-0.5345363280699521,False,1
alcohol_binary,renal28,1095,-1e-16,0.0019690839700679313,0.7663251970019263,3.4037627795376606,2.0850439882697955,True,1
coag28,renal28,1095,0.7188368177076443,2.5540489972473457e-96,0.6577217073056065,0.779951928109683,0.4448173053937976,True,1
hepatic28,renal28,1095,0.5865950578505306,2.345624904251145e-70,0.5263116993089357,0.6468784163921256,0.17963370236474954,True,1
icufd,renal28,1095,0.5210015823382808,5.259788407771745e-59,0.4616501771410331,0.5803529875355269,0.1915332093260806,True,1
alcohol_binary,vfd,1095,-1e-16,0.04293668752100118,0.041502659671197595,2.5645624201519084,1.3030325399115519,True,1
cns28,vfd,1095,0.5129608994910058,1.9526925631002319e-85,0.46602791918072406,0.5598938798012837,0.04756002530174662,True,1
coag28,vfd,1095,0.6937296307091076,5.570724720827895e-99,0.6357368045865331,0.7517224568316817,0.05585637484872175,True,1
icufd,vfd,1095,0.9832075330828488,0.0,0.9572636700655904,1.0091513961001064,0.9183342833723261,True,1
pulmon28,vfd,1095,0.23086060040744805,4.57800499430371e-10,0.1588468020571468,0.30287439875774286,0.03697701749512425,True,1
cardio28,death90,1095,-0.030081991984175493,3.339550861027294e-163,-0.03189408043729261,-0.028269903531058557,-0.10394666544088099,True,1
cns28,death90,1095,-0.013885622990946811,2.853699216345289e-39,-0.015882074654818893,-0.01188917132707489,-0.006896158830298149,True,1
coag28,death90,1095,-0.0356121375920504,2.853487435122057e-215,-0.037365109750863504,-0.03385916543323628,-0.162481030482406,True,1
hepatic28,death90,1095,-0.028087361361681218,1.8762916401412745e-132,-0.030036431711140562,-0.02613829101222188,-0.06808913655431025,True,1
icufd,death90,1095,-0.027448777361772758,2.4961143952753002e-138,-0.02929948497777251,-0.02559806974577329,0.010907562604855902,True,1
orgfree28,death90,1095,-0.018386381884334335,8.629473375284274e-73,-0.02023823770121844,-0.016534526067450313,0.07214538748793317,True,1
pulmon28,death90,1095,-0.006841379260525554,1.8738229143400018e-06,-0.009642328975644064,-0.004040429545407127,-0.0003006191548953054,True,1
renal28,death90,1095,-0.019143862331972628,9.301347986929538e-77,-0.021012037335007998,-0.017275687328937132,-0.05363764280080233,True,1
vfd,death90,1095,-0.026112318345947183,2.7075117764535814e-147,-0.027800158719194945,-0.02442447797269899,-0.14406142331167787,True,1
